country,site,level,industry,meta.industry,MIS,total.retouched,total.lithics,ret.freq,vol.dens,old.ret
Gibraltar,Gorham's Cave,B,Upper Paleolithic,U Paleo,2,8,161,0.049689441,6.5205,0.049689441
Gibraltar,Gorham's Cave,D1-2,Upper Paleolithic,U Paleo,2,12,568,0.0211267606,13.8024,0.0211267606
Gibraltar,Gorham's Cave,E1-3,Upper Paleolithic,U Paleo,2,3,38,0.0789473684,0.9234,0.0789473684
Gibraltar,Gorham's Cave,F1-2,Upper Paleolithic,U Paleo,3,8,54,0.1481481481,1.3812631579,0.1481481481
Gibraltar,Gorham's Cave,G,Mousterian,M Paleo,4,41,5233,0.0078348939,117.7425,0.0078348939
Gibraltar,Gorham's Cave,K,Mousterian,M Paleo,5b,26,1498,0.0173564753,57.78,0.0173564753
Gibraltar,Gorham's Cave,M,Mousterian,M Paleo,5b,18,1467,0.0122699387,48.5008163265,0.0122699387
Gibraltar,Gorham's Cave,P,Mousterian,M Paleo,5b,6,464,0.0129310345,53.6914285714,0.0129310345
Gibraltar,Gorham's Cave,Q,Mousterian,M Paleo,5b,2,38,0.0526315789,1.7588571429,0.0526315789
Gibraltar,Gorham's Cave,R,Mousterian,M Paleo,5c,2,44,0.0454545455,1.1254736842,0.0454545455
Italy,Capelvenere,1,Mousterian,M Paleo,4,4,103,0.0388349515,11.7045454545,0.0388349515
Italy,Capelvenere,2,Mousterian,M Paleo,4,0,60,0,14.5833333333,0
Italy,Capelvenere,3,Mousterian,M Paleo,4,8,71,0.1126760563,14.7916666667,0.1126760563
Italy,Capelvenere,4,Mousterian,M Paleo,4,3,30,0.1,6.25,0.1
Italy,Capelvenere,5,Mousterian,M Paleo,4,10,36,0.2777777778,7.5,0.2777777778
Italy,Capelvenere,6,Mousterian,M Paleo,4,7,39,0.1794871795,8.125,0.1794871795
Italy,Capelvenere,7,Mousterian,M Paleo,4,8,25,0.32,3.4722222222,0.32
Italy,Capelvenere,8,Mousterian,M Paleo,4,10,116,0.0862068966,16.3888888889,0.0847457627
Italy,Capelvenere,9,Mousterian,M Paleo,4,39,286,0.1363636364,39.7222222222,0.1363636364
Italy,Capelvenere,10,Mousterian,M Paleo,4,18,106,0.1698113208,19.4642857143,0.1651376147
Italy,Capelvenere,10/b,Mousterian,M Paleo,4,1,23,0.0434782609,1.9166666667,0.0434782609
Italy,Grotta di Castelcivita,PA - C,Proto-Aurignacian ,U Paleo,3,323,1415,0.2282685512,1397.5,0.228
Italy,Grotta di Castelcivita,PA - D,Proto-Aurignacian ,U Paleo,3,465,2118,0.2195467422,2732.9,0.22
Italy,Grotta di Castelcivita,PIE,Uluzzian,Trans,3,442,1602,0.2759051186,185.8,0.349
Italy,Grotta di Castelcivita,RPI,Uluzzian,Trans,3,210,1136,0.1848591549,833.8,0.185
Italy,Grotta di Castelcivita,RSA,Uluzzian,Trans,3,103,295,0.3491525424,1424,0.276
Italy,Grotta di Castelcivita,RSI,Uluzzian,Trans,3,20,105,0.1904761905,113.5,0.19
Italy,M.Zei,A-I,Mousterian,M Paleo,4,68,303,0.2244224422,1154.2857142857,0.2244224422
Italy,M.Zei,A-II/III,Mousterian,M Paleo,4,72,377,0.1909814324,718.0952380952,0.1909814324
Italy,M.Zei,A-IV,Mousterian,M Paleo,4,34,198,0.1717171717,377.1428571429,0.1717171717
Italy,Mario Bernardini,A I-A II,Uluzzian,Trans,3,43,148,0.2905405405,5.3756606069,0.2905405405
Italy,Mario Bernardini,A III,Uluzzian,Trans,3,13,42,0.3095238095,19.9491770964,0.3095238095
Italy,Mario Bernardini,A IV,Uluzzian,Trans,3,94,496,0.189516129,235.5902819009,0.189516129
Italy,Mario Bernardini,A V,Mousterian,M Paleo,3,22,58,0.3793103448,35.8135226922,0.3793103448
Italy,Mario Bernardini,A VI,Mousterian,M Paleo,3,18,64,0.28125,19.75918493,0.28125
Italy,Mario Bernardini,A VII,Mousterian,M Paleo,3,19,68,0.2794117647,18.25576869,0.2794117647
Italy,Mario Bernardini,A VIII,Mousterian,M Paleo,3,33,109,0.3027522936,39.59101393,0.3027522936
Italy,Mario Bernardini,A IX,Mousterian,M Paleo,3,9,37,0.2432432432,9.933285904,0.2432432432
Italy,Mario Bernardini,B1,Mousterian,M Paleo,3,22,118,0.186440678,36.43099722,0.186440678
Italy,Mario Bernardini,B2,Mousterian,M Paleo,3,81,900,0.09,277.8635381,0.09
Italy,Mario Bernardini,B3,Mousterian,M Paleo,3,125,876,0.1426940639,270.4538438,0.1426940639
Italy,Mario Bernardini,B4,Mousterian,M Paleo,3,14,87,0.1609195402,26.86014202,0.1609195402
Italy,Mario Bernardini,D1,Mousterian,M Paleo,4,10,29,0.3448275862,11.9378409,0.3448275862
Italy,Mario Bernardini,D10-D11,Mousterian,M Paleo,4,13,60,0.2166666667,15.84851292,0.2077922078
Italy,Mario Bernardini,D12,Mousterian,M Paleo,4,30,113,0.2654867257,16.46598744,0.25
Italy,Mario Bernardini,D13,Mousterian,M Paleo,4,8,40,0.2,13.17278996,0.5
Italy,Mario Bernardini,D2,Mousterian,M Paleo,4,9,35,0.2571428571,24.69898117,0.2166666667
Italy,Mario Bernardini,D3,Mousterian,M Paleo,4,9,40,0.225,46.51641453,0.2654867257
Italy,Mario Bernardini,D4,Mousterian,M Paleo,4,16,47,0.3404255319,16.46598744,0.2
Italy,Mario Bernardini,D5,Mousterian,M Paleo,4,10,31,0.3225806452,14.40773901,0.2571428571
Italy,Mario Bernardini,D6,Mousterian,M Paleo,4,11,45,0.2444444444,16.46598744,0.225
Italy,Mario Bernardini,D7,Mousterian,M Paleo,4,16,77,0.2077922078,19.34753525,0.3404255319
Italy,Mario Bernardini,D8,Mousterian,M Paleo,4,10,40,0.25,12.76114027,0.3225806452
Italy,Mario Bernardini,D9,Mousterian,M Paleo,4,16,32,0.5,18.52423588,0.2444444444
Italy,Riparo Bombrini,A1,Proto-Aurignacian ,U Paleo,3,21,186,0.1129032258,308,0.1494
Italy,Riparo Bombrini,A2,Proto-Aurignacian ,U Paleo,3,54,1029,0.0524781341,870,0.0575
Italy,Riparo Bombrini,M1,Mousterian,M Paleo,3,4,118,0.0338983051,1966.67,0.0339
Italy,Riparo Bombrini,M2,Mousterian,M Paleo,3,1,108,0.0092592593,3600,0.0093
Italy,Riparo Bombrini,M3,Mousterian,M Paleo,3,5,326,0.0153374233,5433.33,0.0153
Italy,Riparo Bombrini,M4,Mousterian,M Paleo,3,6,319,0.0188087774,3038.1,0.0188
Italy,Riparo Bombrini,M5,Mousterian,M Paleo,3,11,400,0.0275,3809.52,0.0275
Italy,Riparo Bombrini,M6,Mousterian,M Paleo,3,1,39,0.0256410256,1300,0.0256
Italy,Riparo Bombrini,M7,Mousterian,M Paleo,3,0,58,0,1288.89,0
Italy,Riparo Bombrini,MS,Mousterian,M Paleo,3,10,139,0.071942446,463.33,0.0719
Italy,Serra Cicora,A,Proto-Aurignacian,U Paleo,3,63,210,0.3,913.0434782609,0.3
Italy,Serra Cicora,B,Proto-Aurignacian,U Paleo,3,100,364,0.2747252747,1022.4719101124,0.2747252747
Italy,Serra Cicora,C,Uluzzian,Trans,3,135,780,0.1730769231,2234.9570200573,0.1730769231
Italy,Serra Cicora,D,Uluzzian,Trans,3,331,1246,0.2656500803,1220.1331766549,0.2656500803
Italy,Serra Cicora,B-C,Mousterian,M Paleo,3,137,507,0.2702169625,565.5555555556,0.2652259332
Italy,Serra Cicora,D-E,Mousterian,M Paleo,3,126,388,0.324742268,260,0.3256410256
Italy,Serra Cicora,F,Mousterian,M Paleo,3,48,181,0.2651933702,128.8888888889,0.2025862069
Italy,Torre dell'Alto,A,Mousterian,M Paleo,3,275,2255,0.1219512195,458.358662614,0.1229000884
